,asuult,angilal,on
, Дохионы ямар төрөл нь синусойдын нийлбэрүүдийг үзүүлж чадах вэ?,Сэргээн санах,1
,Аналог дохионы тасалдалтын квантлагдсан утгыг хоёртын кодоор илэрхийлэхийг....................... гэнэ.,Сэргээн санах,1
,Дундаж цэг агуулсан бөгөөд тодорхой хязгаарт давтагдан үүсч байгаа хөдөлгөөн бол ...............юм. ,Сэргээн санах,1
,"Тодорхой тоон утга агуулсан, хязгаарлагдмал хурдтайгаар орон зайд тархаж байгаа хэлбэлзэл бол.............юм. ",Сэргээн санах,1
,Орон зайд С=3*108 м/с хурдтайгаар тархаж байгаа цахилгаан соронзон хэлбэлзэл бол...............юм.,Сэргээн санах,1
,ЦСД нь зөвхөн цахилгаан орны хүчлэгийн вектор (Е)-ээр тодорхойлогддог .,Сэргээн санах,1
,ЦСД нь микро орчинд бөөмлөг шинжтэй. ,Сэргээн санах,1
,Цахилгаан соронзон орон зүй хичээл нь цахилгаан хэлхээний орчинд болж буй цахилгаан соронзон үзэгдлийг судална.,Сэргээн санах,1
,Цахилгаан соронзон хэлбэлзэл ямар хэлхээнд үүсэх вэ? ,Сэргээн санах,1
,Цахилгаан орны индукцийн векторыг тодорхойл. ,Сэргээн санах,1
,Ирмэгийн дагуух параметр нь диогналын дагуух параметртэй тэнцүү биш орчинг...............гэнэ. ,Сэргээн санах,1
,ЦХО –ийг хэрэглэх хязгаарын нөхцлийг тодорхойл.,Сэргээн санах,1
,ЦСД-ыг юу юугаар ангилдаг вэ?,Сэргээн санах,1
,G долгион дамжуулах орчны  ямар төрлөөр тархах вэ,Сэргээн санах,1
,Шугамын багтаамж утасны диаметр ихэсч утас хоорондох зай        өөрчлөгдөөгүй байхад ,Сэргээн санах,1
,Шугамын эсэргүүцэл температураас хамаарах уу?,Сэргээн санах,1
,Дамжуулалтын гүйдлийн нягт нь температур багасах тутам: ,Сэргээн санах,1
,Статик цахилгаан орны  хүчний шугам: ,Сэргээн санах,1
,Дараах параметрүүдээс  аль нь интеграл параметр вэ?,Сэргээн санах,1
,А векторын Ротор функцыг тодорхойлох томъёог сонгоно уу? ,Сэргээн санах,1
,Орчны анхдагч параметр нь ) 000(    aa бол энэ нь  ямар орчин бэ?,Сэргээн санах,1
,"Дамжуулагч, хагас дамжуулагчаар гүйж байгаа гүйдлийг................гүйдэл гэнэ.",Сэргээн санах,1
,"Нэрт эрдэмтэн Максвеллийн дэвшүүлсэн санааг нотолсоноор радио холбоо, сансрын холбоо үүсэх урьдчилсан нөхцөл бүрджээ. Тэр санааны физик утга юу вэ?. Хувьсан өөрчлөгдөж байгаа цахилгаан орон: ",ойлгох,2
,  Холбооны шугаманд холимог долгионы горим үүсэх  нөхцлийг сонго. ,ойлгох,2
,Цахилгаан орны тангенциаль байгууламж 2 орчны заагт  яаж өөрчлөгдөх хязгаарын нөхцлийг  тодорхойл.,ойлгох,2
,0 Bdiv  гэдэг нь,ойлгох,2
,"xE , 0 yE , 0 zE , 0 xH , 0 yH , 0 zH нөхцлийг хангах Хавтгай цахилгаан соронзон долгионы  тэгшитгэлийг сонгоно уу.",ойлгох,2
,"Цахилгаан соронзон оронгийн цахилгаан орны хүчлэгийн вектор 0 xE , 0 yE , 0 zE ; соронзон оронгийн хүчлэгийн вектор 0 xH , 0 yH , 0 zH бол ямар долгион (H,E) аль тэнхлэгийн дагуу тархаж байна вэ?",ойлгох,2
,"0,5.2  aa параметртэй орчноор тархах хавтгай цахилгаан соронзон долгионы фазын хурд ô V [м/сек]-ийг тодорхойл.",ойлгох,2
,yy e czebyeaxH 2 22 5 43   бол энэ вектораас үүсэх соронзон орон хуйлралтай орон  мөн эсэхийг батална уу.,ойлгох,2
,"Радио станцын чадал 500 P кВт/цаг, ì/ñ 8103 C бол нэг хоног (24 цаг)-т цацаргах цахилгаан соронзон долгионы массыг  тооцоол.",ойлгох,2
,"Нэг км урт кабель шугамын нөлөөмж 6 0 10 25.0  L Гн/км, багтаамж 9 0 10 20  C Ф/км гэж өгөгджээ. Тухайн кабелиар дохио тархах хугацаа  [сек]-ийг ол. Мөн 250кГц давтамж дээрхи уг долгионы фазын коэффициент  [рад/км]-ийг тодорхойлно уу?",ойлгох,2
,"Нэг км урт кабель шугамын нөлөөмж 3 0 10 75.0  L Гн/км, багтаамж 9 0 10 35  C Ф/км гэж өгөгджээ. Тухайн кабелиар тархах фазын хурд ô V [км/сек]ийг тодорхойлно уу?",ойлгох,2
,"1015 f Гц давтамжийн үед     2 105 cm xaxb  хөндлөн огтлолтой долгион хөтлүүрээр тарахах (H01) ;долгионы интерференцийн долгионы урт [м] -ийг, мөн уг долгионы уртын хязгаарын утга    kp  [м]-ийг тодорхойл.",ойлгох,2
,Бодлого  31-ийн нөхцлөөр (H01) долгион нь долгион хөтлүүрээр тархах уу?,ойлгох,2
,Бодлого  31-ийн хувьд долгионы эсэргүүцэл 01 H äZ [Ом]-ийг тодорхойлно уу,ойлгох,2
,Бодлого  31-ийн хувьд (E01 )  долгионы эсэргүүцэл 01 E äZ [Ом]-ийг тодорхойлно уу.,ойлгох,2
,"Вибраторын  цацаргалтын эсэргүүцэл 78 ом,  вибраторын мөрөөр гүйх гүйдэл Ix=200А бол цацаргалтын чадлыг олно уу.",ойлгох,2
,"A=5x ex+3y ey+4z ez  ба B=4x ex+3yey+2z ez  хоёр векторын нийлбэр, ялгаварыг    M{1,2,1} цэгт тодорхойл",ойлгох,2
,Тэгш өнцөгт долгион хөтлүүр Х тэнхлэгийн дагуу тархах  H  долгионы проекцыг бичнэ үү?,ойлгох,2
,jjHrot  томъёогоор Максвеллийн I тэгшитгэлээр бичигдсэн байвал энэ тэгшитгэл ямар орчинд  бичигдсэн болохыг тодорхойлж бич?. ,ойлгох,2
,"1   үед зэс кабель шугамын орчинд үүсэх цахилгаан орны хүчлэг (E), соронзон орны хүчлэг (H) векторуудын хүчний шугам, Пойтенгийн векторыг зурж үзүүлнэ үү?  А ба В талын алинд хөндлөнгийн гүйдлийн үүсгүүр байгааг тодорхойлж зурна уу?",ойлгох,2
,Максвеллийн систем тэгшитгэлээс долгионы тэгшитгэлийн гаргалгааг Н вектороор  дамжуулагч орчинд хийнэ үү?  Хөндлөнгийн гүйдлийнүүсгүүр агуулаагүй гэж үз.,ойлгох,2
,Цахилгаан соронзон долгион тархалтыг вибратор дээр Максвеллийн I ба II тэгшитгэл ашиглаж тайлбарлан бичнэ үү?. ,ойлгох,2
,Максвелийн систем тэгшитгэлийг дифференциал хэлбэрт бичиж физик утгыг тайлбарла,хэрэглэх,3
,Магадлал тархалтын функц аль нь вэ,Сэргээн санах,1
,Магадлал  тархалтын нягтын функц аль нь вэ? ,Сэргээн санах,1
, Санамсаргүй хэмжигдэхүүний математик дундаж аль нь вэ?  ,Сэргээн санах,1
,Энтроп аль нь вэ?,Сэргээн санах,1
,Санамсаргүй процессын энергийн спектрийг ямар хувиргалтаар илэрхийлдэг вэ?,Сэргээн санах,1
,Хамтарсан мэдээлэл,Сэргээн санах,1
,Мэдээлэл гэж юу вэ?,Сэргээн санах,1
,Үл хамаарах 2 мэдээнд агуулагдах мэдээлэл,Сэргээн санах,1
,"Магад үнэн, урьдаас мэдэгдэж байгаа үйл явдлын тухай мэдээнд агуулагдах мэдээлэл  ",Сэргээн санах,1
,Мэдээллийн тоо хэмжээ,Сэргээн санах,1
,Мэдээллийн тоо хэмжээ   ,Сэргээн санах,1
, Мэдээллийн тоо хэмжээ а мэдээг мэдэх магадлалаас дараах байдлаар хамаарна,Сэргээн санах,1
,Харилцан хамааралтай мэдээний мэдээллийн хэмжээ,Сэргээн санах,1
,Нэгж мэдээнд оногдох мэдээллийн хэмжээ ,Сэргээн санах,1
, Энтроп ,Сэргээн санах,1
,Жигд магадлалтай мэдээнүүдийн энтроп  ,Сэргээн санах,1
,Дискрет А ба В мэдээний хамтарсан магадлал,Сэргээн санах,1
,Хамтарсан А ба В дискрет мэдээний мэдээлэл ,Сэргээн санах,1
, Тасралтгүй процессийн харилцан мэдээлэл ,Сэргээн санах,1
,Мэдээлэл дамжуулах хурд гэдэг нь ,Сэргээн санах,1
,Үл хамааралтай ижил үргэлжлэлтэй жигд бус магадлалтай тэмдэгтүүдээс          тогтох мэдээний мэдээлэл дамжуулах хурд ,Сэргээн санах,1
,Үүсгүүрийн бүтээмж гэдэг нь:,Сэргээн санах,1
,Бүх тэмдэгт мэдээлэл агуулж байвал мэдээний илүүдэц нь ,Сэргээн санах,1
,Сувгийн нэвтрүүлэх чадвар гэдэг нь:,Сэргээн санах,1
,Аналог холбооны системийн шуугиан даацыг хэрхэн үнэлдэг вэ?,Сэргээн санах,1
,Дискрет холбооны системийн шуугиан даацыг хэрхэн үнэлдэг вэ?,Сэргээн санах,1
,Мэдээлэл үүсгүүрээс гарах мэдээнд ашигт мэдээлэл их байвал илүүдэц ,Сэргээн санах,1
,Мэдээлэл үүсгүүрээс гарах мэдээнд ашигт мэдээлэл бага байвал илүүдэц,Сэргээн санах,1
,Илүүдэц тэг байхад ,Сэргээн санах,1
, Энтроп гэж юу вэ?  ,Сэргээн санах,1
,Оновчтой кодлол гэдэг нь,Сэргээн санах,1
,Оновчтой кодлол ,Сэргээн санах,1
,Оновчтой кодлол үүсгэхэд баримтлах зарчим,Сэргээн санах,1
,Шуугиан даацтай код ,Сэргээн санах,1
,Шуугиан даацтай кодын илүүдэц нь ,Сэргээн санах,1
,Дохиог хугацаагаар нягтруулах онолын үндэс нь ,Сэргээн санах,1
,Дараах комбинациудын хоорондох кодын            минимум зай хэд вэ,Сэргээн санах,1
,Хэммингийн кодын эхний хяналтын тэмдэгт /2/,Сэргээн санах,1
,r   алдаа илрүүлэх кодын хамгийн бага зай ,Сэргээн санах,1
,Хэммингийн кодын хяналтын тэмдэгтийн          дугаар ,Сэргээн санах,1
,3 алдаа засах чадвартай цикл код үүсгэхийн            тулд кодын минимум зай хэд байх ѐстой вэ?,сэргээн санах,2
,s  алдаа засах кодын хамгийн бага зай,сэргээн санах,2
,"Цикл кодын эхний 3 комбинац 100001101,           110000110,   011000011  гэж  өгөгдсөн бол үлдсэн         бусад комбинацийг тодорхойлно уу.",сэргээн санах,2
,1 алдаа засах кодын хяналтын тэмдэгтийн урт,сэргээн санах,2
,1101;   1100;    1010;     1001  кодын  комбинацийг           тогтмол жинтэй кодод хувиргана уу.,сэргээн санах,2
,ИКМ нягтруулгын үед 125 мкСек -д 256 бит            дамжиж байгаа бол 30 сувгийн ИКМ            системийн хурдыг тодорхойлно уу,сэргээн санах,2
,"d0=4,   нийт 65 тэмдэгтийн урттай кодын            мэдээллийн тэмдэгтийн тоог тодорхойлно уу.",сэргээн санах,2
,Хэрвээ кодын мэдээллийн тэмдэгт нь 7 бол            нэг алдаа засах цикл кодын хяналтын            тэмдэгтийн тоог     тодорхойлно уу.,сэргээн санах,2
,1101;   1100;    0010;    1001   кодын комбинацийг          тэгшийг шалгах кодод хувиргана уу.,сэргээн санах,2
,"n=21 урттай, 2 алдаа засах чадвартай цикл            кодын минимум олон гишүүнтүүд нь           M3(x)=1010111;    M9(x)=1101 гэж өгөгдсөн бол            үүсгэвэр олон гишүүнтийг тодорхойл.",сэргээн санах,2
,Цикл кодын үүсгэвэр олон гишүүнт нь 1011        бол үүсгэвэр матрицыг тодорхойлно уу,сэргээн санах,2
,10000010110000001 өгөгдсөн мэдээг  HDB3          кодод хувиргана уу,сэргээн санах,2
,1011010011011001 өгөгдсөн мэдээг PST кодод         хувиргана уу,сэргээн санах,2
,1001010011011101өгөгдсөн мэдээг  DC кодод          хувиргана уу.,сэргээн санах,2
,1001001 гэсэн Хэммингийн  кодын          комбинацийг хүлээн авахад хяналтын           үйлдлээр  S1=0;   S2=1; S3=0 гэсэн утга           олдсон бол кодын зөв комбинацийг олно уу.,сэргээн санах,2
,Шуугианы энерги    T in dt tStZE 0 2)]()([ бол   оновчтой хүлээн авагчийн схемийг   сонгоно уу.,сэргээн санах,2
,.   898 mV  утгыг кодоор илэрхийлнэ үү. / ИКМ           нягтруулга,сэргээн санах,2
, Үсгүүдийн үзэгдэх магадлал нь дараах байдлаар         өгөгдсөн бол Феногийн алгоритмаар оновчтой         кодлоно уу,сэргээн санах,2
,"Мэдээ a, b, c, d гэсэн үсгээс бүрдэнэ. Текстэн           дэх үсгүүдийн үзэгдэх магадлал харгалзан          0.1,   0.25,    0.35,    0.3 бол өгөгдсөн үсгүүдээс          бүрдэх  мэдээний илүүдцийг тодорхойл",сэргээн санах,2
,"Үсгэн мэдээ байна. Нэг үсэг 7 тэмдэгтээс           бүрдэнэ. Тэмдэгтүүд тус тус харгалзан  3 сек, 4          сек, 6 сек, 6 сек, 7 сек, 7 сек, 9 сек гэсэн          үргэлжлэх хугацаатай бол тэмдэгтүүд ижил          магадлалтай тохиолдолд мэдээлэл дамжуулах          хурдыг тодорхойл",сэргээн санах,2
,1001 мэдээг цикл кодод хувирга. Үүсгэвэр            олон гишүүнт нь 1011,сэргээн санах,2
,Мэдээллийн комбинац нь 10110110110 бол           Хэммингийн код үүсгэ.,сэргээн санах,2
,Мэдээ 5 тэмдэгтээс тогтоно. Нэг импульсийн            үргэлжлэх хугацаа 40 мсек бол дохио              дамжуулах ба мэдээлэл дамжуулах хурдыг            тодорхойл.,сэргээн санах,2
,Мэдээ  2-тын кодоор дамжина. 0=2 сек            1=4 сек  бол мэдээлэл дамжуулах хурдыг           тодорхойл.  p0=p1  гэж үз.,сэргээн санах,2
,"Үүсгүүрээс секундэд 2 тэмдэгтийн хурдтайгаар          мэдээ дамжигдаж байгаа бол тэгшхэмт сувгийн          нэвтрүүлэх чадварыг тодорхойл. Кодын суурь         m=10, алдааны магадлал 0.03",сэргээн санах,2
,Цикл кодыг үүсгэх кодын комбинац нь         111010001 бол  алдаагүй комбинацийг          тодорхойлно уу.,сэргээн санах,2
,"Цахилгаан хэлхээний үндсэн ойлголтыг тайлбарлах, харьцуулах түвшин (13x2 оноо)   1. Цахилгаан хэлхээ гэж юуг хэлэх вэ?",сэргээн санах,2
,Хувьсах гүйдлийн rLC хэлхээнд үүсэх резонансын үндсэн нөхцөл аль нь вэ?,Сэргээн санах,1
,Харилцан адил байх теоремын зөв тодорхойлолт аль нь вэ?,Сэргээн санах,1
,Ачаалалд хамгийн их идэвхитэй чадал дамжуулах нөхцөл аль нь вэ? ,Сэргээн санах,1
,"Кф, Ка-г ашиглан цэвэр синусойдыг тодорхойлоно уу?",Сэргээн санах,1
,Резонансын үед хүрээний нэвтрэх зурвасаар дамжих хамгийн их чадлыг тодорхойлоно уу?,Сэргээн санах,1
,Хувьсах гүйдлийн rLC ачаалалтай хэлхээний             бол хэлхээний ачааллыг тодорхойлоно уу? ,Сэргээн санах,1
,Нөлөөллийн холбоотой хэлхээ гэж юуг хэлэх  вэ? ,Сэргээн санах,1
,Зохицсон  цуваа холбоотой ороомгууд дээрхи комплекс хүчдэлийн илэрхийлэл аль нь вэ? ,Сэргээн санах,1
, Нийлмэл резонансын үед хоѐрдугаар хүрээний гүйдлийг тодорхойлоно уу?,Сэргээн санах,1
,Тэгш хэмт гурван фазын од холболтын онцлогыг тодорхойлоно уу? ,Сэргээн санах,1
,Синусойд биш хувьсах гүйдэл гэж юуг хэлэх вэ? ,Сэргээн санах,1
,Тэгш хэмийн ямар нөхцөл хангасан вэ?,Сэргээн санах,1
,Зурагт үзүүлсэн цахилгаан хэлхээний  гүйдлүүдийг тодорхойлоно уу?,Сэргээн санах,1
,"Зурагт үзүүлсэн цахилгаан хэлхээний ерөнхий эсэргүүцэл, элемэнт тус бүр дээр унах хүчдлийг тодорхойлоно уу? ",Сэргээн санах,1
,"Цахилгаан хэлхээний  5, 3, 4, 7 гүйдлүүдийг тодорхойлоно уу?",Сэргээн санах,1
,Цахилгаан хэлхээний нийт эсэргүүцлийг тодорхойлоно уу?,Сэргээн санах,1
,Цахилгаан хэлхээний нийт эсэргүүцлийг тодорхойлоно уу? ,Сэргээн санах,1
,Цахилгаан хэлхээ нь p салаатай q зангилаатай бол кирхгофын 1-р хууль ашиглан хэдэн тэгшитгэл бичих вэ?,Сэргээн санах,1
,510 j j ee  Комплекс тоон дээр үйлдлийг гүйцэтгэнэ үү?.,Сэргээн санах,1
,Z=10+j10 гэсэн гурван эсэргүүцэл одоор холбогджээ. Ачаалал дээрх шугамын хүчдэл 200В бол фазын гүйдэл болон хэрэглэгдэж байгаа  нийт идэвхитэй чадлыг  тодорхойлоно уу.,Сэргээн санах,1
,"500мГц давтамж дээр цуваа холбогдсон r,L,C бүхий хэлхээнд резонанс үүсэв. Энэ үеийн хэлхээний эсэргүүцэл 75 Ом, нэвтрүүлэх зурвас 3 кГц байсан бол r,L,C-н хэмжээг тодорхойлоно уу.",Сэргээн санах,1
,Лапласын  шууд хувиргалтаар нэгж функцийг олоход дүрслэл нь: ,Сэргээн санах,1
,Лапласын хувиргалтын үед функцийн хувьсагчийн утга ямар тоо байх вэ.,Сэргээн санах,1
,Лапласын урвуу хувиргалтын томьѐог сонгоно уу,Сэргээн санах,1
,Тархмал параметртай,Сэргээн санах,1
,Ойсон долгион гэж юу вэ?,Сэргээн санах,1
,Дараахь томъѐонуудаас зөвийг нь сонгоно уу,Сэргээн санах,1
,Шугамын ойсон долгион ямар нөлөөг үзүүлэх вэ ,Сэргээн санах,1
,Дараахь томъѐонуудаас зөвийг нь сонгоно уу.,Сэргээн санах,1
, Шугамын   хоѐрдагч  параметр юунаас хамаарах вэ ?,Сэргээн санах,1
,Ямар дөрвөн туйлтыг идэвхитэй дөрвөн туйлт гэх вэ?,Сэргээн санах,1
,Ямар дөрвөн туйлтыг харимал дөрвөн туйлт гэх вэ?,Сэргээн санах,1
,Y =  Yа +  Yб Дөрвөн туйлтууд ямар холболтоор холбогдсон вэ ,Сэргээн санах,1
, Дараах шүүрүүдээс нам давтамжийн шүүрийг сонгоно уу.,Сэргээн санах,1
,Шугаманд гажуудал үүсээгүй үед хурд:,Сэргээн санах,1
,Алдагдалгүй шугамын үед дараахь томъѐогоор -г тодорхойлно,Сэргээн санах,1
,Зөвийг нь сонгоно уу.,Сэргээн санах,1
,Хэрэв дөрвөн туйлтын оруулсан унтралт тэгтэй тэнцүү бол: ,Сэргээн санах,1
,RC хоѐр туйлтын энергетик функц ,Сэргээн санах,1
,p=0  цэгт RL хоѐр туйлтын оролтын функцын утга  бодит утгатай байвал энэ цэгийн ойролцоо  хамгийн эхлээд функцийн,Сэргээн санах,1
,Дараах характеристикуудаас  RL хоѐр туйлтын характеристикийг ол  ,ойлгох,2
,Гүүрэн дөрвөн туйлтын дамжуулалтын функцийн модуль ,хэрэглэх,3
,Чебышевийн характеристиктай 5-р эрэмбийн шүүрийн агууриг давтамжийн характеристикийг ол,хэрэглэх,3
,Золотеревийн характеристиктай хаагч шүүрийн схемийг ол. ,хэрэглэх,3
,Cхемийг хэрэгжүүлэх 4 туйлтын параметрүүдийг сонгоно уу.,Сэргээн санах,1
,Дараах дүрслэлүүдээс Лапласын урвуу хувиргалт хийн оргиналыг ол. ,хэрэглэх,3
,Г хэлбэрийн дөрвөн туйлтын А тэгшитгэлийн параметрүүдийг тодорхойлох томъѐог бич.,хэрэглэх,3
,"функцэд харгалзах схемийг дурын аргаар ол, ",хэрэглэх,3
,Аль нь утасгүй телефон холбоонд хэрэглэгддэг бэ?,сэргээн санах,2
,Телефон хэрэглэгч дугаараа буруу цуглуулсан бол энэ ямар ачааллын төрөлд багтах бэ? ,сэргээн санах,2
,Коммутатор нь аль төрлийн холболтын хэрэгсэлд багтах бэ? ,сэргээн санах,2
,Улаанбаатар хотын доторх яриа хамгийн ихдээ хэчнээн холболтын зангилаагаар дайрах бэ? ,сэргээн санах,2
,Олон мөчирт эрэгчийн шатны давуу тал.,Сэргээн санах,1
,Ачаалыг тодорхойлдог хамгийн гол параметрийг ол?,хэрэглэх,3
,Аль нь хамгийн өндөр ачаалалтай телефон хэрэглэгчийн категорит харгалзах бэ? ,ойлгох,2
,Товчлуурт телефон аппаратын тэжээгдэх тогтмол хүчдлийн хэмжээ хэд бэ?,ойлгох,2
,Товчлуурт дугаар цуглуулагчтай телефон аппаратнаас 6 гэсэн цифр цуглуулсан бол хичнээн хугацаа шаардах бэ?,Сэргээн санах,1
,"UА(t)=1060млВ, UБ(t)= -1720млВ, UВ(t)= 520млВ хүчдлүүд телефоны микрофон дээр үүссэн бол эдгээр хүчдлүүдийг муруй шугамын квантаар квантчилr хариуг хариултын хүснэгтэн дотор бич.",хэрэглэх,3
,Дараах F9TS10 -ийн дамжих хугацааны завсаруудыг ол.,хэрэглэх,3
,Нэг RSU-ийн хувьд 900 хэрэглэгчийн шугаманд хичнээн РСМ(Зэрэг-20%) шаардлагатай бэ?,хэрэглэх,3
,3 секундэд хичнээн Мulti frame дамждаг бэ? Multi frame-дэд дамжих битийн тоог ол.,хэрэглэх,3
,Багц шугамын болон холболтын хэрэгслийн тоог ямар параметрийн тусламжтай тооцоолдог бэ? ,хэрэглэх,3
,"Хэрэглэгчийн ба холбох шугамын ачаалал -0,1Е, -0,8Е бол хоногт дунджаар хичнээн минут эзлэгдэх ёстой бэ?",хэрэглэх,3
,Дуудлага буюу хонхны гүйдлийн давтамж болон хүчдлийг ол?,хэрэглэх,3
,Нөхцөлт эрэлтийн үед холбооны системийн ямар байгууламжын ачаалл ыг ихэсгэдэг бэ? ,ойлгох,2
,Шугаман эрэлтийг гүйцэтгэхэд хичнээн тооны цифр шаардлагатай бэ,Сэргээн санах,1
,Бүлэгчилсэн эрэлтийг гүйцэтгэхэд хичнээн тооны цифр шаардлагатай бэ,Сэргээн санах,1
,Дискэн дугаар цуглуулагчтай телефон аппаратнаас 6 гэсэн цифр цуглуулсан бол хичнээн хугацаа шаардах бэ?,Сэргээн санах,1
,Товчлуурт дугаар цуглуулагчтай телефон аппаратнаас 6 гэсэн цифр цуглуулсан бол ямар ямар давтамжийн хослолууд дамжих бэ?,Сэргээн санах,1
,Телефон сүлжээний багц шугамын тоо нь ямар параметрээс хамаарах бэ?,Сэргээн санах,1
,А мөчир дээр үүсэх холболтын цэгийн үүрэг нь . . .,Сэргээн санах,1
,"Хэрэглэгчийн ба холбох шугамын ачаалал -0,1Е, -0,7Е , нийт холбогдох РСМ шугамын тоо N=76, суурин буюу дотроо битүүрэх ачаалал нь 50% бол хэрэглэгчийн ба холбох шугамын тоог олж график байгуул.",хэрэглэх,3
,"Олон мөчирт эрэгчийн(ОМЭШ) шат  [300х30х300]- г ХХ[1х1], ХХ [1х10][ -уудыг ашиглан зурна уу? Оролцох нийт элементийн тоог ол.",хэрэглэх,3
,Хэрвээ нөхцөлт координатны систем [100х60х40x20]-д 17-р оролтоор дуудлага орж 18-р гаралтаар гарсан бол нөхцөлт координат параметрүүдийг ол.,хэрэглэх,3
,"ХХ[20x10]-ыг ашиглан ХБ[170х110х100]-ыг нөхцөлт координатны схемээр үүсгэсэн бол  Ka, Na, Ma, Kb, Nb, Mb параметрүүдийг олж дараах нөхцөлт координатуудыг олно уу",хэрэглэх,3
,Нүүрсэн микрофоны схемийг зурж тайлбарла.,хэрэглэх,3
,Ачаалал үүсгэгчүүдийн төрлүүдийг бич. Ямар учраас ачааллыг тус тусд ньолдог бэ?,ойлгох,2
,"Шугаман эрэлтийн үе дэхь холболтын цэгийн тоог олж, мөчирлөсөн схемийг зур. Телефон холбооны бүрэлдэхүүн хэсэг, телефон аппарат ",хэрэглэх,3
,Тоон дамжуулах системд нийт магистралын дагуу хуримтлагдаж болох хамгийн их алдааны магадлал нь ,ойлгох,2
,STM-1 үүсэхэд дараах тохиолдлуудын аль нь зөв вэ,Сэргээн санах,1
,"STM-16 тоон урсгалд хэдэн заагч байт, хэддэх мөрөнд дамжигдах вэ?",ойлгох,2
,SDH системийн STM-4 тоон урсгалын циклийн синхрончлолын битийн хэмжээ,ойлгох,2
,Дараах тохиолдлуудын аль нь зөв вэ?,ойлгох,2
,TU - г дараах тохиолдлуудын алинд нь зөв тодорхойлсон вэ?,ойлгох,2
, Зөвийг нь сонго,ойлгох,2
,SDH системийн заагчийн тэмдэгтүүд нь  ,ойлгох,2
,Заагч тэмдэгтүүд нь  ,ойлгох,2
,STM-1-ийн толгойн хэсгийн сүүлчийн 5 мөрийг эзэх битүүд:,ойлгох,2
,Е-1 тоон урсгалын хувьд frame-н синхрончлол хэддүгээр time slot-р дамжигдах вэ?,ойлгох,2
,".Е-4 тоон урсгалын дамжууллын хурд, сувгийн тоог cонго.",ойлгох,2
,SDH стандартад,ойлгох,2
,TUG-г үүсгэхдээ ,ойлгох,2
,WDM технологийн үед зөөгч давтамжийн ялгаа нь ,ойлгох,2
,DWDM технологийн үед зөөгчийн долгионы урт нь,ойлгох,2
,xDSL-ийг ямар дамжуулах шугам ашиглан дамжуулдаг вэ?,ойлгох,2
,"xDSL-ийн upstream, downstream-ийн хурдны харьцаа",ойлгох,2
,Зөвийг нь сонгоно уу ,ойлгох,2
,CLP-cell loss priority,ойлгох,2
,HEC-header error control ,ойлгох,2
,Багц холболт ,ойлгох,2
,STM-4 тоон урсгалын M-SOH-ийн 29 дахь байтын хугацааны байрлалыг тодорхойл,хэрэглэх,3
,"STM-64 тоон урсгалын циклийн бүтэц дэхь SOH-ийн битийн тоо, нэг битийн дамжих хурд, хугацааг тодорхойл.",хэрэглэх,3
,STM-128 тоон урсгалын дамжууллын хурдыг тодорхойлж тайлбарла.,хэрэглэх,3
,STS-12 тоон урсгалын LO-ийн 9 дахь байтын хугацааны байрлалыг тодорхойл,хэрэглэх,3
,Е-1 аас STM-16 тоон урсгалыг үүсгэх блок диаграммыг зурж тайлбарла.,Сэргээн санах,1
, Command window цонхноос Application программууыг дуудан ажиллуулж болно ,Сэргээн санах,1
,Command history цонхонд хадгалагдаж байгаа кодуудаар M-file үүсгэж болно,Сэргээн санах,1
,Mathworks нь симуляци хийх зориулалт бүхий программ ,Сэргээн санах,1
,Өмнө байгуулсан график дээр нэмж график байгуулахадаа legend командыг ашиглана,Сэргээн санах,1
,"MATLAB программ нь өндөр нарийвчлалтай аналоги, тоон болон тэдгээрийн холимог схемийг  загварчлах боломж олгодог",Сэргээн санах,1
,Current directory цонхонд хийгдэх үйлдэл болон функцийн кодыг бичиж ажилуулдаг ,Сэргээн санах,1
,MATLAB-ын prompt дээр бичсэн бүх командууд Command window –д хадгалагдана ,Сэргээн санах,1
, MATLAB-ын үндсэн өгөгдлийн төрөл нь массив юм ,Сэргээн санах,1
,Plot функц нь оролтын аргументаасаа хамаараад графикийг ижил хэлбэртэйгээр дүрсэлдэг,Сэргээн санах,1
,MATLAB программын Model дээр хэрэглэгчийн интерфейс зохиодог. ,Сэргээн санах,1
,"MATLAB GUIDE нь Зураг, график зурах зориулалттай ",Сэргээн санах,1
, M-file-ийг функцтай адил нэрээр хадгалж болно ,Сэргээн санах,1
,M file дотор бичигдсэн хувьсагчдыг String ба Value утгаар зарлаж өгөх ѐстой.,Сэргээн санах,1
, MATLAB GUIDE нь программын код бичих зориулалттай,Сэргээн санах,1
,Global хувьсагчийг бусад хувьсагчаас ялгахын тулд томоор бичдэг.,Сэргээн санах,1
,GUI хэрэглэгчийн интерфэйсийн объектын кодыг Callback функц дотор бичнэ.,Сэргээн санах,1
,GUI хэрэглэгчийн интерфэйсийн объектын кодыг Callback функц дотор бичнэ.,Сэргээн санах,1
, MATLAB програм дээр M-File –ийг *.fig  өргөтгөлөөр хадгалдаг. ,Сэргээн санах,1
, Программын хаана ч ажиллах хувьсагч тухайн функц ажиллаж дууссан ч санах ойд байж байдаг. ,Сэргээн санах,1
,"Аль программд программын иж бүрдэл номын сан, электроникийн өргөн дэлгэр тархсан элементийн баазыг агуулсан байдаг вэ?",Сэргээн санах,1
